Reasons for order stuck,Classification of problems
Provincial resources are being adjusted ,Reasons for the provincial system 
The research institute plan is being determined. ,Reasons for the group system 
Provincial resource network ASBR resource allocation has not been returned ,Data issues 
Provincial resource network ASBR resource allocation has not been returned ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"In the test environment, the initial message issued by the group lacks nodes: prodResources, reissue is normal; provincial arrangement has successfully distributed provincial resources, but the provincial resource reply needs to be reissued after the previous VLAN withdrawal. ",Reasons for the design center plan 
"Provincial resources, the address is not associated with U and A devices. ",Data issues 
Provincial arrangement without reply ,Reasons for the provincial system 
Provincial arrangement without reply ,Reasons for the provincial system 
Provincial arrangement without reply ,Reasons for the provincial system 
IPRAN PW access to RFS_No receipt in the province ,Reasons for the provincial system 
IPRAN PW access to RFS_No receipt in the province ,Reasons for the provincial system 
"PON migration process, the whole process of testing before disassembly, looking for a design center, need to add this link to the group design center and group choreography for follow-up testing. It has been invalidated ",Reasons for the design center plan 
"PON migration process, the whole process of testing before disassembly, looking for a design center, need to add this link to the group design center and group choreography for follow-up testing. ",Reasons for the design center plan 
"It was sent when the machine was moved and disassembled. When the machine was moved and installed, the delivery was wrong.",Reasons for the design center plan 
"It was sent when the machine was moved and disassembled. When the machine was moved and installed, the delivery was wrong. ",Reasons for the design center plan 
Provincial resource configuration relay name error ,Reasons for the provincial system 
OTMS has no test environment and is forced to pass the order. ,Data issues 
"The originally allocated relay port is occupied, and the available port of the link is to be redistributed. ",Reasons for the provincial system 
Provincial resource OTN convergence equipment callback relay link is empty ,Data issues 
The link information is not queried according to the link name. ,Data issues 
No data was obtained according to the name of the input link. ,Data issues 
IPRAN PW access to RFS_No receipt in the province ,Reasons for the provincial system 
IPRAN PW access to RFS_No receipt in the province ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"The provincial orchestration system has not found it, and there is no joint adjustment record. It is suspected that it is the reason for placing the order. ",To be determined (other reasons) (write notes) 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Provincial resource process problems make it impossible to circulate and need to be stopped. ,Reasons for the group system 
